"id","inv","desc","status","created_at","updated_at"
"5091","BGD1.INV.24.662047","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5092","BGD1.INV.24.662048","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5093","BGD1.INV.24.662049","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5094","BGD1.INV.24.662050","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5095","BGD1.INV.24.662051","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5096","BGD1.INV.24.662052","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5097","BGD1.INV.24.662053","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5098","BGD1.INV.24.662062","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5099","BGD1.INV.24.662071","Tidak ada data customer","2","1/11/2025 10:30:07","1/11/2025 10:30:07"
"5100","BGD1.INV.24.662072","Tidak ada data customer","2","1/11/2025 10:30:07","1/11/2025 10:30:07"
"5101","BGD1.INV.24.662073","Tidak ada data customer","2","1/11/2025 10:30:07","1/11/2025 10:30:07"
"5102","BGD1.INV.24.662080","Tidak ada data customer","2","1/11/2025 10:30:07","1/11/2025 10:30:07"
"5103","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","1/11/2025 10:30:32","1/11/2025 10:30:32"
"5104","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","1/11/2025 11:00:19","1/11/2025 11:00:19"
"5105","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","1/11/2025 11:30:10","1/11/2025 11:30:10"
"5106","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","1/11/2025 12:00:09","1/11/2025 12:00:09"
"5107","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 12:30:12","1/11/2025 12:30:12"
"5108","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","1/11/2025 13:00:13","1/11/2025 13:00:13"
"5109","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 13:31:05","1/11/2025 13:31:05"
"5110","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","1/11/2025 14:01:20","1/11/2025 14:01:20"
